rownames(exprMat)	LAU125	LAU355	LAU1255	LAU1314
ALDH16A1	0.88	1.87	1	3.53
ALDH18A1	40.65	25.54	18.39	28.39
ALDH1A1	424.94	8.14	54.46	2.19
ALDH1A2	0.11	0.07	0.14	0.05
ALDH1A3	4.08	0	3.56	14.36
ALDH1B1	4.86	2.67	5.12	2.81
ALDH1L1	1.41	0.37	1.54	0.33
ALDH1L1-AS1	0	0	0	0
ALDH1L1-AS2	0.02	0	0.01	0.02
ALDH1L2	20.29	0.13	7.13	0.28
ALDH2	26.92	17.69	14.88	20.24
ALDH3A1	0.09	0.15	0.04	0.04
ALDH3A2	30.74	11.09	13.99	12.94
ALDH3B1	2.54	1.63	9.65	1.41
ALDH3B2	0.32	0.01	1.74	0.13
ALDH4A1	29.1	1.47	2.1	1.41
ALDH5A1	11.21	16.64	9.18	18.41
ALDH6A1	26.93	4.2	10.9	4.09
ALDH7A1	109.14	4.7	53.72	9.27
ALDH7A1P1	0	0.01	0.02	0.08
ALDH7A1P2	0	0	0	0
ALDH7A1P3	0	0	0	0
ALDH7A1P4	0	0	0	0
ALDH8A1	0.11	0.41	0.19	0.08
ALDH9A1	81.94	36.04	37.5	41.23
ALDOA	797.97	197.18	417.57	237.41
ALDOAP1	0.07	0	0	0
ALDOAP2	0	0	0	0
ALDOB	0.02	0.18	0.03	0.06
ALDOC	49.68	25.52	8.17	25.43
ALG1	12.48	6.63	7.67	8.72
ALG10	2.82	1.81	1.56	1.77
ALG10B	3.77	1.51	1.15	1.87
ALG11	3.34	2.39	1.48	3.83
ALG12	2.58	3.83	3.29	5.55
ALG13	32.85	35.93	30.2	29.24
ALG13-AS1	0	0	0.22	0.95
ALG14	8.4	8.31	8.82	6.54
ALG1L	0.2	0.22	0.1	0.45
ALG1L10P	0	0	0	0
ALG1L11P	0.13	0	0	0
ALG1L12P	0	0	0	0
ALG1L13P	0.21	0.61	0.74	0.48
ALG1L14P	0	0	0	0
ALG1L15P	0	0	0	0
ALG1L2	0.03	0.21	0.6	0.24
ALG1L3P	0	0.06	0	0
ALG1L5P	0	0	0	0
ALG1L6P	0.03	0.12	0.05	0
ALG1L7P	0	0	0	0
ALG1L8P	0	0	0	0
ALG1L9P	0.68	0.66	1.11	0.85
ALG2	9.58	9.64	9.74	10.37
ALG3	17.95	10.62	19.62	14.03
ALG3P1	0	0.06	0	0
ALG5	28.7	25.18	21.53	26.54
ALG6	12.27	8.67	4.81	11.86
ALG8	72.84	23	96.1	27.59
ALG9	24.01	10.17	9.63	11.66
ALG9-IT1	0	0	0	0
ALK	4.51	0.02	2.78	0.14
ALKAL1	0	0	0	0
ALKAL2	0	0.12	0.02	0.14
ALKBH1	6.88	5.4	3.42	5.41
ALKBH2	17.16	10.39	11.14	12.91
ALKBH3	31.39	29.32	25.91	24.09
ALKBH3-AS1	0.19	0.77	0.11	0.28
ALKBH4	6.06	2.38	1.78	2.75
ALKBH5	39.17	37.31	19.53	39.74
ALKBH6	7.36	16.53	10.97	12.71
ALKBH7	1.7	2.63	2.47	2.03
ALKBH8	5.34	10.27	8.15	9.09
ALLC	0	0	0	0
ALMS1	7.91	12.3	6.78	13.52
ALMS1-IT1	0.99	0.34	0.78	0.26
ALMS1P1	0.12	0.16	0.29	0.08
ALOX12	0.19	0.69	0.22	0.89
ALOX12-AS1	9.12	12.81	3.85	9.44
ALOX12B	0.01	0.12	0	0.14
ALOX15	0.09	0.82	0.06	0.86
ALOX15B	0.04	0.15	0.5	0.07
ALOX15P2	0	0	0	0
ALOX5	1.33	55.86	13.1	51.38
ALOX5AP	5.85	160.29	78.52	162.39
ALOXE3	0.04	0.02	0.02	0.05
ALPI	0	0	0	0
ALPK1	8.44	6.53	7.57	8.44
ALPK2	0.03	0.29	0.14	0.37
ALPK3	0.4	0.04	0.08	0.06
ALPL	26.03	5.85	0.51	5.15
ALPP	0	0.01	0	0
ALPPL2	0	0	0	0
ALS2	24.04	7.74	17.7	8.45
ALS2CL	0.02	0.64	0.78	0.44
ALS2CR12	1.38	0.89	1.13	1.07
ALX1	45.03	0	6.9	1.06
ALX3	0.57	0.85	0.5	0.62
ALX4	0.04	0	0.13	0.01
ALYREF	23.5	42.17	25.92	56.18
AMACR	7.35	3.36	15.92	1.84
AMBN	0	0	0	0
AMBP	0	0	0	0.09
AMBRA1	8.57	10.57	9.23	8.84
AMD1	330.07	55.37	47.4	54.63
AMD1P1	0	0	0	0
AMD1P2	0	0	0	0
AMD1P3	0.2	0.13	0.27	0.33
AMD1P4	0.05	0.15	0.03	0.14
AMDHD1	0.03	0.49	0.57	0.61
AMDHD2	1.53	1.72	2.07	1.56
AMELX	0	0	0	0
AMELY	0	0	0	0
AMER1	0.99	2.21	1.24	2.51
AMER2	0	0.02	0	0.01
AMER3	0	0.01	0	0.02
AMFR	33.28	42.35	23.44	45.36
AMH	0.01	0.01	0.01	0
AMHR2	0.1	0	0	0.01
AMIGO1	0.45	3.42	0.53	2.64
AMIGO2	0.11	5.34	2.85	5.95
AMIGO3	0.09	0.31	0.08	0.19
AMMECR1	4.41	4.59	2.12	4.38
AMMECR1-IT1	0	0.04	0	0.05
AMMECR1L	12.96	9.83	14.52	11.91
AMMECR1LP1	0	0	0	0
AMN	0.01	0.02	0	0.04
AMN1	18.38	8.71	2.36	8.21
AMOT	19.25	1.71	23.05	2.51
AMOTL1	11.02	0.31	9.47	0.98
AMOTL2	3.92	0.08	12.06	0.08
AMPD1	0	0.26	0.1	0.91
AMPD2	5.43	13.98	11.38	12.51
AMPD3	3.7	24.69	5.68	22.79
AMPH	0.03	0.02	0	0.02
AMT	2.12	2.45	2.21	2.8
AMTN	0	0	0	0
AMY1A	0.17	1.32	0.28	0.57
AMY1B	0.08	0.03	0	0
AMY1C	0	0	0	0
AMY2A	0	0	0	0
AMY2B	0.73	3.89	2.02	3.07
AMYP1	0	0	0	0
AMZ1	0.1	0.58	0.09	0.27
AMZ2	103.51	59.14	55.7	63.38
AMZ2P1	12.51	3.38	4.16	3.15
AMZ2P2	0	0	0	0
ANAPC1	25.16	29.21	11.93	32.19
ANAPC10	24.85	22.53	17.04	23.92
ANAPC10P1	0	0	0	0
ANAPC11	10.26	7.68	8.67	11.29
ANAPC13	52.04	29.38	27.47	37.86
ANAPC15	22.14	32.68	28.83	34.5
ANAPC16	65.55	220.38	84.93	208.46
ANAPC1P1	0	0.11	0.21	0.02
ANAPC2	1.69	8.28	2.7	6.93
ANAPC4	15.88	13.14	10.46	19.2
ANAPC5	55.37	54.03	45.94	53.36
ANAPC7	35.69	17.55	19.64	23.31
ANG	9.91	2.13	12.74	3.05
ANGEL1	11.46	8.75	7.59	8.89
ANGEL2	19.44	26.53	12.7	28.15
ANGPT1	1.09	0.06	1.82	0.33
ANGPT2	230.11	0.15	0.08	0.1
ANGPT4	0	0	0	0.01
ANGPTL1	0.5	0.65	0.7	0.23
ANGPTL2	3.04	0.01	0.8	0.07
ANGPTL3	0.12	0	0.04	0
ANGPTL4	39.65	0.01	1.48	0.65
ANGPTL5	0	0	0.01	0
ANGPTL6	0	1.47	0.37	1.01
ANGPTL7	4.82	0	0.16	0
ANGPTL8	0	0	0	0
ANHX	0	0	0	0.04
ANK1	0.11	3.98	0.4	4.27
ANK2	7.24	0.74	7.73	0.91
ANK3	0.4	6.17	1.99	5.98
ANKAR	1.7	4.4	1.75	3.6
ANKDD1A	5.67	1.67	2.27	1.75
ANKDD1B	0.08	0.45	0.24	0.21
ANKEF1	0.07	2.58	0.31	2.33
ANKFN1	0.02	0.09	0.01	0.02
ANKFY1	21.92	7.55	5.53	6.91
ANKH	7.82	37.83	23.61	38.49
ANKHD1	53.95	58.23	36.03	65.42
ANKHD1-EIF4EBP3	1.06	4.64	4.75	3.04
ANKIB1	54.03	22.75	19.21	25.74
ANKK1	0.01	0.13	0.03	0.17
ANKLE1	0.25	1.18	0.35	1.96
ANKLE2	19.39	27.52	15.02	33.08
ANKMY1	4.73	16.22	4.67	16.93
ANKMY2	25.41	4.99	6.93	6.98
ANKRA2	12.29	15.68	11.51	11.74
ANKRD1	0.01	0.01	0.1	0
ANKRD10	56.42	48.48	20.66	66.67
ANKRD10-IT1	3.19	1.65	0.84	3.78
ANKRD11	40.25	21.91	14.36	18.99
ANKRD12	30.9	33.5	20.84	34.96
ANKRD13A	53.35	97.73	25.74	113.43
ANKRD13B	1.06	0.27	0.64	0.23
ANKRD13C	30.19	17.7	13.91	16.56
ANKRD13D	5.11	18.55	9.34	16.15
ANKRD16	1.81	2.86	2.13	2.35
ANKRD17	39.51	21.02	18.82	26.07
ANKRD18A	0	0.38	0.47	0.87
ANKRD18B	0.4	0.1	1.24	0.05
ANKRD18CP	0.03	0.19	0.08	0.15
ANKRD18DP	0.17	0.12	0.06	0.11
ANKRD18EP	1.88	2.33	1.74	3.51
ANKRD19P	0.06	0.45	0	0.37
ANKRD2	0	0	0.04	0.02
ANKRD20A10P	0	0	0	0
ANKRD20A11P	0.39	0.87	0.28	0.36
ANKRD20A17P	0.78	0.11	0.33	0
ANKRD20A18P	0	0.05	0.11	0
ANKRD20A19P	0.11	0.35	0.06	0.37
ANKRD20A2	0	0	0	0
ANKRD20A4	0.44	0.06	0.1	0.18
ANKRD20A5P	0.98	0.77	0.51	0.43
ANKRD20A7P	0.48	0	0	0.05
ANKRD20A8P	0.14	0.05	0.03	0.03
ANKRD20A9P	0.14	0.34	0.03	0
ANKRD22	0.15	1.69	12.89	0.5
ANKRD23	1.22	1.14	1.87	1.65
ANKRD24	0.27	0.1	0.09	0.07
ANKRD26	4.27	3.7	3.03	5.17
ANKRD26P2	0	0	0	0
ANKRD26P3	0	0.03	0	0.03
ANKRD26P4	0.05	0.05	0.05	0.08
ANKRD27	5.9	7.98	6.27	7.82
ANKRD28	90.07	16.19	42.84	18.03
ANKRD29	0.03	0.18	0.25	0.09
ANKRD30A	0	0	0	0
ANKRD30B	0.1	0	2.96	0.01
ANKRD30BL	0.01	0.21	0.08	0.37
ANKRD30BP1	0.09	0	0.94	0
ANKRD30BP2	0	0.09	0.04	0
ANKRD30BP3	0	0	0.02	0
ANKRD31	0.87	0.31	0.09	0.48
ANKRD33	0	0	0	0
ANKRD33B	0.04	0.43	0.06	0.56
ANKRD33B-AS1	0	0	0	0
ANKRD34B	0.03	0.26	0.33	0.42
ANKRD34C	0	0	0	0
ANKRD35	0.01	0.07	0.07	0.16
ANKRD36	2.35	5.9	3.76	3.08
ANKRD36B	4.96	5.17	5.94	6.22
ANKRD36BP1	3.8	5.32	4.03	6.23
ANKRD36BP2	1.62	4.02	2.75	21.23
ANKRD36C	2.67	3.36	2.77	2.47
ANKRD36P1	0	0	0	0
ANKRD37	36.88	4.29	8.43	2.74
ANKRD39	4.55	3.17	4.26	3.85
ANKRD40	54.8	22.71	23.28	23.91
ANKRD42	5.85	6.24	10.46	6.88
ANKRD44	16.27	60.92	24.13	60.15
ANKRD44-IT1	0.07	0.22	0.2	0.58
ANKRD45	4.96	0.05	3.07	0.13
ANKRD46	27.75	6.89	4.73	8.67
ANKRD49	7.31	13.2	11.44	14.76
ANKRD50	32.07	0.38	4.03	0.61
ANKRD52	10.14	7.78	5.74	7.75
ANKRD53	0.41	0.2	0.21	0.02
ANKRD54	4.16	3.58	6.11	5.15
ANKRD54P1	0	0	0	0
ANKRD55	0.13	3.02	0.28	2.02
ANKRD6	13.81	4.77	3.97	3.82
ANKRD60	0	0	0	0
ANKRD61	0.29	0.22	0.02	0.21
ANKRD62	0.04	0.11	0.02	0.21
ANKRD62P1-PARP4P3	0	0	0.04	0
ANKRD63	0	0	0	0
ANKRD65	0.18	1.5	0.12	1.71
ANKRD66	0	0	0	0.01
ANKRD7	2.24	0.21	0.24	0.31
ANKRD9	0.51	0.08	1.65	0.01
ANKS1A	18.55	2.09	20.03	3.03
ANKS1B	10.45	0.11	0.16	0.29
ANKS3	1.17	0.82	0.78	0.52
ANKS4B	0.11	0.07	0.06	0.03
ANKS6	2.04	5.02	1.78	2.42
ANKUB1	0	0.03	0.01	0.06
ANKZF1	12.09	19.73	16.95	19.51
ANLN	91.46	4.5	19.45	8.82
ANO1	0.18	0.03	0.03	0
ANO1-AS1	0	0	0.04	0
ANO1-AS2	0	0	0	0
ANO10	49.62	7.56	27.98	7.48
ANO2	0.02	0	0.07	0
ANO3	0.01	0.01	0	0.06
ANO4	2.25	0	0.16	0.06
ANO5	2.41	0.07	0.04	0.08
ANO6	37.81	18.63	15.39	15.31
ANO7	0.21	0.01	0.11	0.23
ANO7L1	0.61	0.23	0.5	0
ANO8	0.59	0.55	0.64	0.37
ANO9	0.04	5.32	1.98	4.38
ANOS1	11.86	0.16	3.9	0.17
ANOS2P	0.07	0	0.07	0.93
ANP32A	183.25	176.55	129.73	220.31
ANP32B	121.02	274.81	143.29	366.21
ANP32BP2	0	0	0	0
ANP32C	0	0	0	0
ANP32D	0	0	0	0
ANP32E	94.06	97.03	70.55	134.62
ANPEP	1.15	5.76	3.68	2.1
ANTXR1	58.57	0.18	18.17	0.41
ANTXR2	22.44	54.44	16.61	59.34
ANXA1	162.96	113.13	406.77	70.53
ANXA10	0	0	0.05	0
ANXA11	42.54	222.31	169.96	214.18
ANXA13	5.6	0.02	0.11	0
ANXA2	505.59	86.42	669.87	92.12
ANXA2P1	0.16	0	0.15	0
ANXA2P2	0.13	0	0.11	0.05
ANXA2P3	0	0.02	0.02	0
ANXA2R	0.22	9.65	2.63	9.16
ANXA3	10.73	0.37	39.63	0.64
ANXA4	33.65	14.45	48.85	19.28
ANXA5	2750.97	129.17	775.62	141.6
ANXA6	102.02	463.6	129.41	398.75
ANXA7	43.6	93.58	62.9	88.9
ANXA9	0	0.05	1.74	0.05
AOAH	2.15	46.47	35.88	24.78
AOAH-IT1	0	0	0	0
AOC1	0.11	0.72	0	2.41
AOC2	0.14	0.4	0.42	0.36
AOC3	0.15	0.08	0.15	0.05
AOX1	0.41	0.01	0.19	0.02
AOX2P	0	0	0.08	0.01
AOX3P	0	0.01	0	0
AP1AR	17.41	19.65	17.65	20.11
AP1B1	16.98	91.56	23.57	96.66
AP1B1P1	0	0.08	0	0.15
AP1B1P2	0	0	0	0
AP1G1	27.86	17.14	13.28	16.26
AP1G2	2.38	21.56	11.28	16.49
AP1M1	15.07	18.92	12.33	21.42
AP1M2	0	0.05	0.09	0.1
AP1S1	65.93	13.58	31.03	17.17
AP1S2	638	67	194.38	66.79
AP1S2P1	0	0	0	0
AP1S3	4.83	9.44	6.38	9.61
AP2A1	11.36	7.24	9.84	10.73
AP2A2	54.07	30.49	30.22	26.5
AP2B1	69.49	43.22	50.81	47.26
AP2M1	245.88	121.69	213.54	130.93
AP2S1	68.3	24.16	38.19	24.42
AP3B1	25.28	27.1	21.55	31.37
AP3B2	0.25	0.05	0.04	0.09
AP3D1	23.92	14.49	18.87	15.42
AP3M1	28.39	28.52	23.78	36.4
AP3M2	108.08	9.32	10.77	8
AP3S1	291.33	90.59	172.23	184.64
AP3S2	10.35	9.71	7.5	9.54
AP4B1	11.97	14.87	8.13	19.67
AP4B1-AS1	1.03	1.31	1.03	1.12
AP4E1	3.74	6.66	2.39	7.7
AP4M1	11.23	4.63	5.81	4.88
AP4S1	3.06	6.59	2.55	5.88
AP5B1	1.41	2.63	2.1	3.12
AP5M1	20.61	20.23	12.65	21.46
AP5S1	3.52	2.1	3.29	2.89
AP5Z1	4.79	4.2	3.81	5.07
APAF1	5.57	8.3	2.98	11.36
APBA1	0.24	0.11	0.06	0.02
APBA2	5.94	4.2	0.62	2.46
APBA3	0.87	2.91	1.41	3.28
APBB1	10.63	15.81	9.37	10.36
APBB1IP	1.85	81.91	21.8	84.33
APBB2	17.42	3.2	6.42	3.21
APBB3	2.36	5.91	5.89	3.21
APC	12.73	11.53	7.49	13.01
APC2	0.14	0.02	0.03	0.01
APCDD1	20.15	0.32	0.41	0.73
APCDD1L	0.59	0	0	0
APCDD1L-AS1	0.44	0	0.01	0
APCS	0	0.02	0	0
APEH	97.3	43.54	95.59	56.97
APELA	0.04	0	0	0.03
APEX1	134.71	134.88	105.53	127.62
APEX2	9.58	8.53	8.36	14.23
APH1A	69.04	87.72	75.47	79.94
APH1B	14.44	9.4	10.18	8.15
API5	77.4	66.3	43.17	80.56
API5P1	0	0	0	0
API5P2	0	0	0.03	0
APIP	23.07	17.47	13.01	21.13
APLF	1.33	2.33	1.25	2
APLN	4.99	0	0.36	0.06
APLNR	0	0	0	0
APLP1	0.21	0	0.77	0.12
APLP2	276.67	110.14	150.92	149.08
APMAP	57.07	26.72	35.85	33.94
APOA1	0.05	0.02	0	0.06
APOA1-AS	0	0.37	0	0.15
APOA2	0	0.12	0.13	0
APOA4	0	0.01	0	0
APOA5	0	0	0	0
APOB	0	0.01	0	0
APOBEC1	0	0.03	0	0
APOBEC2	0.11	0.72	0.18	0.21
APOBEC3A	1.27	2.66	8.17	1.5
APOBEC3AP1	0	0	0	0
APOBEC3B	3.23	3.6	7.55	6.13
APOBEC3B-AS1	0.3	0	0.04	0.22
APOBEC3C	27.2	64.39	52.88	112.96
APOBEC3D	2.76	16.12	7.1	23.05
APOBEC3F	5.72	22.57	10.09	29.29
APOBEC3G	18.97	103.87	62.04	99.04
APOBEC3H	1.23	3.16	3.97	2.66
APOBEC4	0.01	0.01	0	0.01
APOBR	0.38	7.55	4.12	9.51
APOC1	798.53	44.05	267.67	7.99
APOC1P1	0	0.1	0.12	0.13
APOC2	61.49	6.71	419.27	7.16
APOC3	0	0	0	0
APOC4-APOC2	0.35	0	1.91	0.26
APOD	156.65	0.59	1256.9	56.92
APOE	1083.36	41.31	553.75	7.4
APOF	0.01	0.05	0	0.04
APOH	0.02	0.02	0	0
APOL1	3.39	8.52	65.04	7.41
APOL2	6.58	15.37	35.09	14.77
APOL3	3.52	62.73	43.11	50.63
APOL4	2.05	3.31	13.9	9.76
APOL5	0	0.03	0	0.02
APOL6	2.86	7.06	16.2	6.75
APOLD1	91.43	0.28	0.76	0.98
APOM	1.94	5.01	1.8	4.42
APOO	39.47	8.8	18.89	8.78
APOOL	8.49	3.34	5.05	4.93
APOOP2	0	0	0	0
APOOP4	0	0	0	0
APP	3741.55	150.6	900.86	117.17
APPBP2	19.06	8.68	5.3	8.65
APPL1	48.52	49.32	26.55	49.44
APPL2	46.38	12.28	10.88	10.57
APRT	32.04	60.76	37.18	60.75
APTR	8.74	1.96	3.1	2.7
APTX	18.2	18.59	10.05	18.05
AQP1	11.12	0.1	0.36	0.36
AQP10	0	0	0	0
AQP11	1.1	0.22	1.24	0.18
AQP12A	0.01	0.02	0	0
AQP12B	0	0	0	0
AQP2	0	0	0.01	0.04
AQP3	0.44	23.23	4.16	19.44
AQP4	2.34	0	0.2	0.01
AQP5	0.04	0	0.01	0
AQP6	0.32	0.43	0.51	0.53
AQP7	0	0.03	0	0
AQP7P1	0.04	0.11	0	0
AQP7P2	0	0	0	0
AQP7P4	0	0.02	0	0
AQP8	0.02	0	0	0
AQP9	0.77	1.34	7.19	0.65
AQR	17.97	14.41	9.61	17.17
AR	0.04	0.08	0.08	0.28
ARAF	23.41	43.37	19.79	43.08
ARAFP1	0	0	0	0
ARAFP2	0	0	0	0
ARAFP3	0	0	0	0
ARAP1	18.04	25.55	20.38	31.9
ARAP1-AS2	0.22	0.55	0.16	0.55
ARAP2	3.44	31.57	16.03	29.74
ARAP3	7.15	0.34	3.69	0.53
ARC	3.27	0.05	0.92	0.02
ARCN1	124.12	84.1	49.67	100.28
AREG	0.3	22.33	22.14	5.3
AREL1	15.6	13.01	11.38	14.36
ARF1	225.47	184.67	266.71	206.94
ARF1P1	0	0.04	0	0
ARF1P2	0	0	0	0
ARF1P3	0	0	0	0
ARF3	91.84	56.04	98.15	66.45
ARF4	224.51	61.69	184.88	73.54
ARF4P2	0.1	0.05	0	0
ARF4P3	0	0	0	0
ARF4P4	0	0	0	0
ARF5	88.8	73.2	66.21	74.41
ARF6	41.79	84.46	61.13	87.56
ARFGAP1	18.18	11.2	12.63	12.46
ARFGAP2	42.59	49.99	37.4	58.94
ARFGAP3	93.92	20.24	24.59	30.11
ARFGEF1	34.36	24.01	18.6	34.69
ARFGEF2	18.47	12.45	9.29	15.15
ARFGEF3	0.17	0.01	0.05	0.14
ARFIP1	32.61	10.52	14.93	16.98
ARFIP2	13.46	20.74	18.29	21.94
ARFRP1	14.96	11.61	6.96	13.81
ARG1	0.17	0.38	0.05	0.66
ARG2	80.67	3.61	5.18	4.42
ARGFX	0.2	0	0	0
ARGFXP1	0	0	0	0
ARGLU1	40.22	44.21	31.94	36.67
ARHGAP1	43.44	23.73	20.13	25.04
ARHGAP10	4.7	2.84	3.46	2.92
ARHGAP11A	11.86	3.4	4.55	7.18
ARHGAP11B	5.21	2.99	2.09	3.78
ARHGAP12	11.59	10.95	12.16	7.69
ARHGAP15	4.92	146.44	27.65	151.33
ARHGAP17	23.72	51.48	13.03	49.08
ARHGAP18	39.74	10.92	18.6	16.17
ARHGAP19	1.4	18.98	13.08	33.04
ARHGAP20	24.4	0.57	0.84	0.65
ARHGAP21	63.78	11.36	22.54	6.53
ARHGAP22	14.34	30.47	9	21.27
ARHGAP22-IT1	0	0	0	0.06
ARHGAP24	30.86	88.9	22.25	64.1
ARHGAP25	3.4	151.95	26.83	125.56
ARHGAP26	4.93	12.47	19.38	10.32
ARHGAP26-AS1	0	0	0	0
ARHGAP26-IT1	0	0	0	0
ARHGAP27	1.27	25.69	6.45	25.73
ARHGAP27P1-BPTFP1-KPNA2P3	0.93	4.14	2.59	3.52
ARHGAP28	0.38	0.15	0.93	0.14
ARHGAP29	4.32	0.06	1.01	0.04
ARHGAP30	1.77	91.19	22.71	104.53
ARHGAP31	17.31	15.16	9.82	6.49
ARHGAP31-AS1	1.45	0.33	0.77	0.43
ARHGAP32	16.33	2.84	2.83	5.03
ARHGAP33	0.45	0.82	0.64	0.86
ARHGAP35	24.15	9	12.19	8.44
ARHGAP36	0	0	0.03	0
ARHGAP39	0.87	0.04	0.52	0.05
ARHGAP4	1.45	19.83	10.16	15.02
ARHGAP40	0	0.01	0.06	0.01
ARHGAP42	109.39	3.41	22.42	2.45
ARHGAP42P1	0.01	0.01	0	0
ARHGAP42P2	0	0	0	0
ARHGAP42P3	0.01	0	0	0
ARHGAP44	0.09	0.77	0.03	1.26
ARHGAP45	1.18	17.99	3.96	21.64
ARHGAP5	58.23	18.12	22.24	18.8
ARHGAP6	0.29	0.26	0.08	0.35
ARHGAP8	0.35	0.2	0.19	0.15
ARHGAP9	0.93	48.43	16.08	42.28
ARHGDIA	50.64	62.76	56.76	72.43
ARHGDIB	181.12	1307.55	361.76	1400.87
ARHGDIG	0.73	0	0.29	0.42
ARHGEF1	4.43	45.69	19.41	46.09
ARHGEF10	20.52	0.79	1.38	0.49
ARHGEF10L	4.84	0.49	2.97	0.23
ARHGEF11	16.93	2.83	11.53	1.43
ARHGEF12	50.7	7.61	9.67	10
ARHGEF15	0.01	0.01	0	0.01
ARHGEF16	1.22	0.03	0.09	0.01
ARHGEF17	2.75	0.04	7.39	0.1
ARHGEF18	3.78	20.43	5.41	21.01
ARHGEF19	0.89	1.25	0.41	0.93
ARHGEF19-AS1	0	0	0.01	0
ARHGEF2	72.33	109.05	45.34	136.22
ARHGEF25	6.97	0.1	4.25	0.9
ARHGEF26	11.15	0.06	0.84	0.07
ARHGEF26-AS1	5.38	4.63	2.84	4.37
ARHGEF28	1	0.16	1.38	0.17
ARHGEF3	4.28	24.63	17.33	20.3
ARHGEF3-AS1	0	0	0	0
ARHGEF33	0.28	0.08	0.39	0.06
ARHGEF34P	1.91	1.28	0.33	0.96
ARHGEF35	25.04	2.37	8.95	4.48
ARHGEF37	3.79	1.01	2.55	0.85
ARHGEF38	0.19	0.05	0.02	0.03
ARHGEF38-IT1	0	0	0	0
ARHGEF39	2.41	1.93	2.51	5.08
ARHGEF4	0.01	0.59	0.08	0.29
ARHGEF40	12.59	0.2	7.95	0.36
ARHGEF5	6.43	1.33	1	2.5
ARHGEF6	6.52	38.23	14.84	43.21
ARHGEF7	17.53	23.55	6.3	26.6
ARHGEF7-AS1	0	0	0	0
ARHGEF7-AS2	0	0	0	0
ARHGEF7-IT1	0	0	0	0
ARHGEF9	11.65	10.33	8.91	10.14
ARHGEF9-IT1	0.15	0	0	0
ARID1A	19.68	39.22	17.98	42.83
ARID1B	24.15	33.79	9.41	30.27
ARID2	12.37	11.71	5.94	12.15
ARID3A	0.51	1.61	1.39	2.43
ARID3B	1.16	9.52	3.58	7.42
ARID3C	0.03	0.01	0	0
ARID4A	19.44	25.64	17.17	23.67
ARID4B	20.65	49.05	22.76	53.16
ARID5A	1.32	15.54	9.31	11.81
ARID5B	32.73	40.49	29.9	26.37
ARIH1	19.82	16.16	13.4	19.92
ARIH2	55.56	60.68	62.33	61.53
ARIH2OS	1.11	2.54	1.34	1.15
ARL1	86.59	18.2	39.59	24.78
ARL10	2.62	1.73	1.01	2.21
ARL11	0.05	6.05	0.69	6.32
ARL13A	0	0	0	0.1
ARL13B	9.13	7.93	8.5	9.34
ARL14	0.02	0.36	0.04	0.44
ARL14EP	28.67	50.97	21.4	45.71
ARL15	19.87	5.59	6.51	6.56
ARL16	14.79	4.88	7.41	5.24
ARL17A	4.25	6.07	4.2	6.73
ARL17B	5.05	11.2	8	9.49
ARL2	70.06	10.15	20.38	11.18
ARL2BP	43.8	32.71	26.31	31.23
ARL2BPP10	0.31	0.31	0.05	0.21
ARL2BPP3	0	0	0	0
ARL2BPP4	0	0	0	0.12
ARL2BPP5	0	0	0	0
ARL2BPP6	0	0	0	0
ARL2BPP7	0	0	0	0
ARL3	19.92	5.82	15.82	8.38
ARL4A	144.48	49.57	54.76	25.12
ARL4AP1	0.04	0.02	0	0
ARL4AP2	0	0	0	0.12
ARL4AP3	0	0	0	0
ARL4AP4	0.48	0.18	0	0.22
ARL4AP5	0.38	0.05	0.2	0.18
ARL4C	10.16	72.9	43.14	46.02
ARL4D	1.7	1.6	3.9	0.71
ARL5A	36.32	42.52	17.98	44.46
ARL5AP1	0	0	0	0
ARL5AP2	0	0	0	0.05
ARL5AP3	0	0	0	0
ARL5AP4	0	0	0	0
ARL5B	3.84	4.51	5.52	3.77
ARL5C	0	0.02	0	0.06
ARL6	7.27	2.72	3.6	2.74
ARL6IP1	259.13	74.13	90.85	106.9
ARL6IP1P2	0	0	0	0
ARL6IP1P3	0	0	0	0.05
ARL6IP4	107.69	70.07	59.8	64.86
ARL6IP5	121.96	172.83	126.66	213.15
ARL6IP6	30.51	18.66	18.86	32.55
ARL8A	50.77	41.69	60.18	41.59
ARL8B	84.3	39.02	75.32	43.3
ARL9	0.39	0	0.06	0
ARMC1	39.94	20.55	19.29	29.03
ARMC10	67.48	18.68	21.35	22.72
ARMC10P1	0	0	0	0
ARMC12	0.17	0.54	0.14	0.16
ARMC2	3.39	4.19	2.97	3.86
ARMC2-AS1	0	0	0	0
ARMC3	0.13	0	0.56	0.18
ARMC4	0	0	0	0.05
ARMC4P1	0	0	0	0
ARMC5	1.18	2.57	1.2	1.47
ARMC6	3.74	5.17	3.9	5.37
ARMC7	2.17	3.31	1.91	4.43
ARMC8	36.05	38.94	26.1	36.68
ARMC8P1	0	0	0	0
ARMC9	23.52	1.89	9.02	1.01
ARMCX1	10.37	0.39	9.87	0.67
ARMCX2	21.52	5.32	39.24	9.37
ARMCX3	39.74	15.17	24.54	21.13
ARMCX3-AS1	0	0	0	0
ARMCX4	3.09	2.1	2.47	1.36
ARMCX5	31.68	15.1	11.97	14.18
ARMCX6	51.17	41.48	46.14	40.5
ARMCX7P	0	1.45	0	0
ARMS2	0	0	0	0
ARMT1	21.55	14	11.48	21.71
ARNT	31.79	23.01	19.99	27.23
